caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-25274-351261,Certified,,2025-11-07T00:00:00,Alibaba Cloud US LLC,Senior Site Reliability Engineer,15-1241.00,Computer Network Architects,Y,165610,192000,Year,165610,Year,Bellevue,WA,98004,165610,FY2026_Q3
I-200-25311-390258,Certified,,2025-11-17T00:00:00,Alibaba Cloud US LLC,Senior Site Reliability Engineer,15-1252.00,Software Developers,Y,212202,216000,Year,212202,Year,Bellevue,WA,98004,212202,FY2026_Q3
I-200-25314-395173,Certified,,2025-11-18T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer II,15-1212.00,Information Security Analysts,Y,154960,168000,Year,154960,Year,Sunnyvale,CA,94085,154960,FY2026_Q3
I-200-25314-395400,Certified,,2025-11-18T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer II,15-1241.00,Computer Network Architects,Y,153962,180000,Year,153962,Year,Sunnyvale,CA,94085,153962,FY2026_Q3
I-200-25335-445793,Certified,,2025-12-08T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer,15-1252.00,Software Developers,Y,149365,156000,Year,149365,Year,Sunnyvale,CA,94085,149365,FY2026_Q3
I-200-25351-491914,Certified,,2025-12-24T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer II,15-1252.00,Software Developers,Y,149365,156000,Year,149365,Year,Sunnyvale,CA,94085,149365,FY2026_Q3
I-200-26007-539525,Certified,,2026-01-13T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer,15-1252.00,Software Developers,Y,180710,204000,Year,180710,Year,Bellevue,WA,98004,180710,FY2026_Q3
I-200-26012-553095,Certified,,2026-01-20T00:00:00,Alibaba Cloud US LLC,Senior Site Reliability Engineer,15-1241.00,Computer Network Architects,Y,186056,216000,Year,186056,Year,Sunnyvale,CA,94085,186056,FY2026_Q3
I-200-26016-568039,Certified,,2026-01-26T00:00:00,Alibaba.com US E-commerce Corporation,Legal Counsel,23-1011.00,Lawyers,Y,156832,192000,Year,156832,Year,New York,NY,10014,156832,FY2026_Q3
I-200-26048-646274,Certified,,2026-02-24T00:00:00,Alibaba.com US E-commerce Corporation,Legal Counsel,23-1011.00,Lawyers,Y,150883,216000,Year,150883,Year,Sunnyvale,CA,94085,150883,FY2026_Q3
I-200-26050-650024,Certified,,2026-02-25T00:00:00,Alibaba.com US E-commerce Corporation,"Specialist, Channel Operation",13-1161.00,Market Research Analysts and Marketing Specialists,Y,72883,79200,Year,72883,Year,Pasadena,CA,91101,72883,FY2026_Q3
I-200-26107-806931,Certified,,2026-04-24T00:00:00,Alibaba Group (U.S) Inc.,Senior Algorithm Engineer,15-1221.00,Computer and Information Research Scientists,Y,137176,175200,Year,137176,Year,Washington,DC,20004,137176,FY2026_Q3
I-200-26107-806969,Certified,,2026-04-24T00:00:00,Alibaba.com US E-commerce Corporation,US Custom Clearance Manager,13-1081.00,Logisticians,Y,57699,153684,Year,57699,Year,Pasadena,CA,91101,57699,FY2026_Q3
I-200-26108-809005,Certified,,2026-04-24T00:00:00,Alibaba.com US E-commerce Corporation,Senior Applied Scientist,15-1221.00,Computer and Information Research Scientists,Y,127712,265200,Year,127712,Year,Sunnyvale,CA,94085,127712,FY2026_Q3
I-200-26110-814027,Certified,,2026-04-27T00:00:00,Alibaba.com US E-commerce Corporation,UX Researcher II,19-3022.00,Survey Researchers,Y,60382,144000,Year,60382,Year,Sunnyvale,CA,94085,60382,FY2026_Q3
I-200-26112-819354,Certified,,2026-04-28T00:00:00,Alibaba.com US E-commerce Corporation,Senior Applied Scientist,15-1221.00,Computer and Information Research Scientists,Y,127712,276000,Year,127712,Year,Sunnyvale,CA,94085,127712,FY2026_Q3
I-200-26114-834533,Certified,,2026-05-01T00:00:00,Alibaba Cloud US LLC,Business Development Expert,13-1161.00,Market Research Analysts and Marketing Specialists,Y,77106,180000,Year,77106,Year,Washington,DC,20004,77106,FY2026_Q3
I-200-26114-834534,Certified,,2026-05-01T00:00:00,Alibaba Cloud US LLC,Senior Site Reliability Engineer,15-1244.00,Network and Computer Systems Administrators,Y,83221,168000,Year,83221,Year,Sunnyvale,CA,94085,83221,FY2026_Q3
I-200-26114-834554,Certified,,2026-05-01T00:00:00,Alibaba.com US E-commerce Corporation,Marketing-Integrated Marketing,13-1161.00,Market Research Analysts and Marketing Specialists,Y,82139,162000,Year,82139,Year,New York,NY,10014,82139,FY2026_Q3
I-200-26118-845488,Certified,,2026-05-05T00:00:00,Alibaba.com US E-commerce Corporation,US Lastmile Operation Manager,13-1081.00,Logisticians,Y,57699,120000,Year,57699,Year,Pasadena,CA,91101,57699,FY2026_Q3
I-200-26119-846788,Certified,,2026-05-05T00:00:00,Alibaba.com US E-commerce Corporation,Senior Director,11-2021.00,Marketing Managers,Y,219461,276000,Year,219461,Year,SUNNYVALE,CA,94085,219461,FY2026_Q3
I-200-26121-859295,Certified,,2026-05-08T00:00:00,Alibaba Cloud US LLC,Technology Research Expert,15-1252.00,Software Developers,Y,149240,181200,Year,149240,Year,Bellevue,WA,98004,149240,FY2026_Q3
I-200-26128-885024,Certified,,2026-05-14T00:00:00,Alibaba Cloud US LLC,Business Development Expert,13-1161.00,Market Research Analysts and Marketing Specialists,Y,97698,180000,Year,97698,Year,Washington,DC,20004,97698,FY2026_Q3
I-200-26142-944332,Certified,,2026-06-01T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer,15-1252.00,Software Developers,Y,149240,204000,Year,149240,Year,Bellevue,WA,98004,149240,FY2026_Q3
I-200-26152-968672,Certified,,2026-06-08T00:00:00,Alibaba Group (U.S) Inc.,Staff Algorithm Engineer,15-1252.00,Software Developers,Y,212202,240000,Year,212202,Year,Bellevue,WA,98004,212202,FY2026_Q3
I-200-26163-010871,Certified,,2026-06-22T00:00:00,Alibaba Cloud US LLC,Application Operation,15-1244.00,Network and Computer Systems Administrators,Y,138258,210000,Year,138258,Year,Bellevue,WA,98004,138258,FY2026_Q3
I-202-26062-676535,Certified,,2026-03-10T00:00:00,Alibaba Cloud US LLC,Sales Manager,11-2022.00,Sales Managers,Y,239910,241200,Year,239910,Year,Sunnyvale,CA,94085,239910,FY2026_Q3
