caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-26116-836525,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,"Senior Manager, Data Engineering",11-3021.00,Computer and Information Systems Managers,Y,225000,235000,Year,201074,Year,San Diego,CA,92108,225000,FY2026_Q3
I-200-26116-836813,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,Senior Site Reliability Engineer III,15-1244.00,Network and Computer Systems Administrators,Y,150000,160000,Year,121243,Year,San Diego,CA,92108,150000,FY2026_Q3
I-200-26116-836822,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,Database Engineer III,15-1242.00,Database Administrators,Y,115000,125000,Year,91291,Year,San Diego,CA,92108,115000,FY2026_Q3
I-200-26116-836832,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,Database Engineer II,15-1242.00,Database Administrators,Y,92000,102000,Year,91291,Year,San Diego,CA,92108,92000,FY2026_Q3
I-200-26117-836845,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,Software Development Engineer II,15-1252.00,Software Developers,Y,108000,118000,Year,102794,Year,San Diego,CA,92108,108000,FY2026_Q3
I-200-26117-836868,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,Senior Database Engineer II,15-1242.00,Database Administrators,Y,120000,130000,Year,68973,Year,San Diego,CA,92108,120000,FY2026_Q3
I-200-26117-836876,Certified,,2026-05-01T00:00:00,SHEIN Technology LLC,Senior Database Engineer II,15-1242.00,Database Administrators,Y,138000,148000,Year,68973,Year,San Diego,CA,92108,138000,FY2026_Q3
I-200-26126-873431,Certified,,2026-05-12T00:00:00,SHEIN Technology LLC,Senior GRC Policy Analyst II,15-1212.00,Information Security Analysts,Y,125000,135000,Year,104790,Year,Los Angeles,CA,90021,125000,FY2026_Q3
I-200-26159-990415,Certified,,2026-06-15T00:00:00,SHEIN Technology LLC,Senior Site Reliability Engineer II,15-1211.00,Computer Systems Analysts,Y,164000,174000,Year,139485,Year,San Diego,CA,92108,164000,FY2026_Q3
I-200-26159-990424,Certified,,2026-06-15T00:00:00,SHEIN Technology LLC,Sr. Data Engineer lll,15-1252.00,Software Developers,Y,178000,188000,Year,157581,Year,San Diego,CA,92108,178000,FY2026_Q3
I-200-26159-990447,Certified,,2026-06-15T00:00:00,SHEIN Technology LLC,Senior Machine Learning Engineer II,15-2051.00,Data Scientists,Y,201000,211000,Year,163322,Year,Bellevue,WA,98004,201000,FY2026_Q3
I-200-26167-020686,Certified,,2026-06-24T00:00:00,SHEIN Technology LLC,Database Engineer III,15-1242.00,Database Administrators,Y,132000,142000,Year,113630,Year,San Diego,CA,92108,132000,FY2026_Q3
I-200-26169-027415,Certified,,2026-06-25T00:00:00,SHEIN Distribution Corporation,Project Management Specialist I,13-1082.00,Project Management Specialists,Y,70304,80000,Year,67974,Year,Los Angeles,CA,90021,70304,FY2026_Q3
