caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-26009-546446,Certified,,2026-01-15T00:00:00,"Anthropic, PBC",Product Design Manager,15-1255.00,Web and Digital Interface Designers,Y,153691,385000,Year,153691,Year,San Francisco,CA,94105,153691,FY2026_Q3
I-200-26013-553944,Certified,,2026-01-20T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1221.00,Computer and Information Research Scientists,Y,1380000,,Year,171621,Year,San Francisco,CA,94105,,FY2026_Q3
I-200-26013-555205,Certified,,2026-01-21T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,188000,500000,Year,187574,Year,San Francisco,CA,94105,188000,FY2026_Q3
I-200-26014-557496,Certified,,2026-01-22T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,500000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26015-562520,Certified,,2026-01-23T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,485000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26015-562644,Certified,,2026-01-23T00:00:00,"Anthropic, PBC",Product Design Manager,17-2112.01,Human Factors Engineers and Ergonomists,Y,140254,385000,Year,140254,Year,San Francisco,CA,94105,140254,FY2026_Q3
I-200-26015-563597,Certified,,2026-01-23T00:00:00,"Anthropic, PBC",Commercial Counsel,23-1011.00,Lawyers,Y,274414,320000,Year,274414,Year,San Francisco,CA,94105,274414,FY2026_Q3
I-200-26015-564006,Certified,,2026-01-23T00:00:00,"Anthropic, PBC",Account Executive,13-1161.00,Market Research Analysts and Marketing Specialists,Y,47.27,54,Hour,47.27,Hour,San Francisco,CA,94105,98322,FY2026_Q3
I-200-26021-574316,Certified,,2026-01-27T00:00:00,"Anthropic, PBC",Partnerships,11-2021.00,Marketing Managers,Y,227760,248500,Year,227760,Year,San Francisco,CA,94105,227760,FY2026_Q3
I-200-26021-576627,Certified,,2026-01-28T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,1120000,,Year,213512,Year,San Francisco,CA,94105,,FY2026_Q3
I-200-26022-578790,Certified,,2026-01-28T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,405000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26022-578799,Certified - Withdrawn,,2026-06-25T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,315000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26022-578810,Certified,,2026-01-28T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,300000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26023-583383,Certified,,2026-01-29T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1221.00,Computer and Information Research Scientists,Y,147867,500000,Year,134139,Year,San Francisco,CA,94105,147867,FY2026_Q3
