caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-25120-924592,Certified,,2025-05-07T00:00:00,NetEase Information Technology Corporation,"Manager, Global Production Management, NetEase Games Global",15-2031.00,Operations Research Analysts,Y,150000,162500,Year,75067,Year,Fremont,CA,94538,150000,FY2025_Q3
I-200-25155-054322,Certified,,2025-06-11T00:00:00,NetEase Information Technology Corporation,"Director, Business Transformation, NetEase Games Investments",15-2031.00,Operations Research Analysts,Y,120000,200000,Year,67101,Year,Sammamish,WA,98074,120000,FY2025_Q3
I-200-25155-054344,Certified,,2025-06-11T00:00:00,NetEase Information Technology Corporation,Vice General Manager of QA,11-9041.00,Architectural and Engineering Managers,Y,195000,325000,Year,118435,Year,Austin,TX,78729,195000,FY2025_Q3
I-200-25163-087625,Certified,,2025-06-20T00:00:00,NetEase Information Technology Corporation,"General Manager, Global Production Management, NetEase Games",11-9041.00,Architectural and Engineering Managers,Y,218000,363000,Year,186222,Year,Irvine,CA,92618,218000,FY2025_Q3
I-200-25175-123944,Certified,,2025-07-01T00:00:00,NetEase Information Technology Corporation,Corporate Counsel,23-1011.00,Lawyers,Y,220000,280000,Year,112070,Year,IRVINE,CA,92618,220000,FY2025_Q4
I-200-26127-883298,Certified,,2026-05-14T00:00:00,NetEase Information Technology Corporation,Senior Legal Counsel,23-1011.00,Lawyers,Y,173000,288000,Year,123094,Year,Foster City,CA,94404,173000,FY2026_Q3
