caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24215-242706,Certified,,2024-08-09T00:00:00,Horizon Robotics Inc.,Staff Software Engineer,15-1252.00,Software Developers,Y,182856,,Year,172931,Year,Cupertino,CA,95014,182856,FY2024_Q4
I-200-24228-271404,Certified,,2024-08-22T00:00:00,Horizon Robotics Inc.,Electrical Engineer,17-2071.00,Electrical Engineers,Y,230400,,Year,213595,Year,Cupertino,CA,95014,230400,FY2024_Q4
I-200-25059-734767,Certified,,2025-03-07T00:00:00,"MercuryMind Inc. (formerly Horizon Robotics, Inc.)",Applied Research Engineer,15-1252.00,Software Developers,Y,164904,,Year,146307,Year,Cupertino,CA,95014,164904,FY2025_Q2
