caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-26111-814862,Certified,,2026-04-28T00:00:00,BYD Motors LLC,Project Manager – Special Projects,11-3051.00,Industrial Production Managers,Y,81286,110000,Year,81286,Year,Pasadena,CA,91107,81286,FY2026_Q3
I-200-26112-819651,Certified,,2026-04-29T00:00:00,BYD Coach and Bus LLC,Electrical Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,92518,110000,Year,92518,Year,Lancaster,CA,93534,92518,FY2026_Q3
I-200-26112-819666,Certified,,2026-04-29T00:00:00,BYD Coach and Bus LLC,Parts Engineer,13-1081.02,Logistics Analysts,Y,57699,73000,Year,57699,Year,Lancaster,CA,93534,57699,FY2026_Q3
I-200-26112-819811,Certified,,2026-04-29T00:00:00,BYD America LLC,Project Manager / Project Management Specialists,13-1082.00,Project Management Specialists,Y,67974,77064,Year,67974,Year,Pasadena,CA,91107,67974,FY2026_Q3
I-200-26112-819812,Certified,,2026-04-29T00:00:00,BYD Coach and Bus LLC,Planning and Material Control Supervisor,13-1081.00,Logisticians,Y,91354,100000,Year,91354,Year,Lancaster,CA,93534,91354,FY2026_Q3
I-200-26112-820168,Certified,,2026-04-29T00:00:00,BYD America LLC,ESS Solution Engineer,41-9031.00,Sales Engineers,Y,78229,90000.04,Year,78229,Year,Pasadena,CA,91107,78229,FY2026_Q3
I-200-26112-820175,Certified,,2026-04-29T00:00:00,BYD America LLC,Senior Project Manager,13-1082.00,Project Management Specialists,Y,67974,104999.96,Year,67974,Year,Pasadena,CA,91107,67974,FY2026_Q3
I-200-26119-849046,Certified,,2026-05-06T00:00:00,BYD Coach and Bus LLC,Electrical Engineer,17-2071.00,Electrical Engineers,Y,85613,95000,Year,85613,Year,Lancaster,CA,93534,85613,FY2026_Q3
I-200-26121-857128,Certified,,2026-05-08T00:00:00,BYD Electronic America Corp.,Mechanical Engineer,17-2141.00,Mechanical Engineers,Y,105269,116730,Year,105269,Year,Cupertino,CA,95014,105269,FY2026_Q3
I-200-26125-871046,Certified,,2026-05-12T00:00:00,BYD America LLC,Project Coordinator / Project Management Specialist,13-1082.00,Project Management Specialists,Y,67974,72560,Year,67974,Year,Pasadena,CA,91107,67974,FY2026_Q3
I-200-26135-914415,Certified,,2026-05-22T00:00:00,MobyD Tech INC,Computer Systems Analyst,15-1211.00,Computer Systems Analysts,N,49,,Hour,49,Hour,Sunnyvale,CA,94085,,FY2026_Q3
