caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24192-186951,Certified,,2024-07-17T00:00:00,Baidu USA LLC,Communications Manager,11-2032.00,Public Relations Managers,Y,144012,,Year,129626,Year,Sunnyvale,CA,94089,144012,FY2024_Q4
I-200-24270-367898,Certified,,2024-10-03T00:00:00,Baidu USA LLC,Junior Account Manager,13-1161.00,Market Research Analysts and Marketing Specialists,Y,90000,,Year,69784,Year,Sunnyvale,CA,94089,90000,FY2025_Q1
I-200-25238-268340,Certified,,2025-09-03T00:00:00,Baidu USA LLC,Staff Accountant,13-2011.00,Accountants and Auditors,Y,97932,,Year,91871,Year,Mountain View,CA,94043,97932,FY2025_Q4
