caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24252-322261,Certified,,2024-09-13T00:00:00,JD.COM AMERICAN TECHNOLOGIES CORPORATION,Supply Chain Manager,11-3071.04,Supply Chain Managers,Y,120000,,Year,117936,Year,FONTANA,CA,92337,120000,FY2024_Q4
I-200-24275-378134,Certified,,2024-10-08T00:00:00,JD.com American Technologies Corporation,Human Resources Specialist - HRIS,13-1071.00,Human Resources Specialists,N,88379,,Year,88379,Year,Fontana,CA,92337,,FY2025_Q1
I-200-25308-366638,Certified,,2025-11-14T00:00:00,JD.COM AMERICAN TECHNOLOGIES CORPORATION,TECHNICAL PM,13-1082.00,Project Management Specialists,Y,180000,,Year,150301,Year,NEW YORK,NY,10036,180000,FY2026_Q3
I-200-26015-562786,Certified,,2026-01-23T00:00:00,JD.COM AMERICAN TECHNOLOGIES CORPORATION,"PRODUCT MANAGER, DIGITAL FINANCE",19-3011.00,Economists,Y,240000,,Year,156582,Year,NORMAL,IL,61761,240000,FY2026_Q3
