caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24250-318700,Certified,,2024-09-12T00:00:00,TP-LINK SYSTEMS INC,Sr. Site Reliability Engineer,15-1252.00,Software Developers,Y,155000,,Year,151549,Year,Irvine,CA,92618,155000,FY2024_Q4
I-200-24250-318729,Certified,,2024-09-12T00:00:00,TP-LINK SYSTEMS INC,Sr. Cloud Back End Engineer,15-1252.00,Software Developers,Y,165000,,Year,151549,Year,Irvine,CA,92618,165000,FY2024_Q4
I-200-25150-037104,Certified,,2025-06-06T00:00:00,TP-LINK SYSTEMS INC,Site Reliability Engineer,15-1252.00,Software Developers,Y,115000,,Year,102357,Year,Irvine,CA,92618,115000,FY2025_Q3
I-200-25150-037170,Certified,,2025-06-06T00:00:00,TP-LINK SYSTEMS INC,Web UI Development Engineer,15-1255.00,Web and Digital Interface Designers,Y,110000,,Year,86278,Year,Irvine,CA,92618,110000,FY2025_Q3
I-200-25150-037633,Certified,,2025-06-06T00:00:00,TP-LINK SYSTEMS INC,Mobile App Development Engineer,15-1252.00,Software Developers,Y,110000,,Year,102357,Year,Irvine,CA,92618,110000,FY2025_Q3
I-200-25150-037658,Certified,,2025-06-06T00:00:00,TP-LINK SYSTEMS INC,Application Security Engineer,15-1252.00,Software Developers,Y,130000,,Year,126942,Year,Irvine,CA,92618,130000,FY2025_Q3
I-200-25162-082869,Certified,,2025-06-18T00:00:00,TP-LINK SYSTEMS INC,Site Reliability Engineer,15-1252.00,Software Developers,Y,120000,,Year,102357,Year,Irvine,CA,92618,120000,FY2025_Q3
I-200-26161-002892,Certified,,2026-06-17T00:00:00,TP-LINK SYSTEMS INC.,App Development Engineer Lead,15-1252.00,Software Developers,Y,175780.32,,Year,157123,Year,Irvine,CA,92606,175780,FY2026_Q3
